SNP,shoot_mass,growth_init,growth_cess,cold_injury,scaffold,contig,pos.on.contig,is.signif
scaffold895575_185138_190007__1923,0.727693,0.8979,0.734241,0.536923,scaffold895575,scaffold895575_185138_190007,1923,0
scaffold896819.1_30863_34273__705,0.670898,0.402736,0.943918,0.530351,scaffold896819.1,scaffold896819.1_30863_34273,705,0
scaffold897340_7814_9649__1192,0.624262,0.733916,0.787049,0.512978,scaffold897340,scaffold897340_7814_9649,1192,0
scaffold897346_13395_18670__3609,0.914137,0.794712,0.93024,0.624252,scaffold897346,scaffold897346_13395_18670,3609,0
scaffold897418.1_3398_4844__423,0.41694,0.635056,0.05603,0.638215,scaffold897418.1,scaffold897418.1_3398_4844,423,0
scaffold898304_91654_94742__1971,0.650439,0.888671,0.637394,0.979656,scaffold898304,scaffold898304_91654_94742,1971,0
scaffold898560_159053_162872__2455,0.902063,0.98818,0.850407,0.466924,scaffold898560,scaffold898560_159053_162872,2455,0
scaffold898899_43138_45504__1064,0.784904,0.978891,0.999734,0.108089,scaffold898899,scaffold898899_43138_45504,1064,0
scaffold898932_31761_34803__1329,0.0907378,0.0416304,0.522779,0.0951309,scaffold898932,scaffold898932_31761_34803,1329,0
scaffold899246.1_21995_24926__1347,0.719801,0.757083,0.896634,0.981125,scaffold899246.1,scaffold899246.1_21995_24926,1347,0
scaffold899665.2_147042_152100__4001,0.76108,0.774915,0.707997,0.497904,scaffold899665.2,scaffold899665.2_147042_152100,4001,0
scaffold900302.1_8607_13704__3140,0.973123,0.952061,0.843433,0.989329,scaffold900302.1,scaffold900302.1_8607_13704,3140,0
scaffold900990.2_19439_25452__4586,0.435959,0.650998,0.395555,0.95561,scaffold900990.2,scaffold900990.2_19439_25452,4586,0
scaffold90241_30832_37212__6277,0.406379,0.434289,0.692036,0.713923,scaffold90241,scaffold90241_30832_37212,6277,0
scaffold902661_87327_93817__4179,0.374165,0.414139,0.548373,0.274157,scaffold902661,scaffold902661_87327_93817,4179,0
scaffold902764_19166_23179__3716,0.424992,0.363519,0.689679,0.301145,scaffold902764,scaffold902764_19166_23179,3716,0
scaffold903244_138127_138362__119,0.741758,0.801868,0.751816,0.615459,scaffold903244,scaffold903244_138127_138362,119,0
scaffold903426_60753_64586__1668,0.0517132,0.00164518,0.602121,0.1088,scaffold903426,scaffold903426_60753_64586,1668,1
scaffold903708_18555_25287__2296,0.638409,0.995919,0.935514,0.89174,scaffold903708,scaffold903708_18555_25287,2296,0
scaffold903735_61064_62364__187,0.777826,0.948609,0.838141,0.372846,scaffold903735,scaffold903735_61064_62364,187,0
scaffold903808.2_64308_71290__5231,0.943133,0.325438,0.942848,0.361109,scaffold903808.2,scaffold903808.2_64308_71290,5231,0
scaffold90891.1_4475_10191__4992,0.670087,0.707745,0.160765,0.587997,scaffold90891.1,scaffold90891.1_4475_10191,4992,0
scaffold91819_4010_6724__1433,0.842899,0.618467,0.762377,0.510904,scaffold91819,scaffold91819_4010_6724,1433,0
scaffold92755_142094_144824__916,0.27009,0.0662602,0.505876,0.221433,scaffold92755,scaffold92755_142094_144824,916,0
scaffold93265.3_43917_49998__3671,0.115914,0.405068,0.44154,0.768672,scaffold93265.3,scaffold93265.3_43917_49998,3671,0
tscaffold1040_153388_155422__951,0.111866,0.0612537,0.00271623,2.74E-05,tscaffold1040,tscaffold1040_153388_155422,951,1
tscaffold1121_292559_298607__4944,0.955391,0.605902,0.495264,0.000572722,tscaffold1121,tscaffold1121_292559_298607,4944,1
tscaffold121_151474_152165__353,0.59462,0.771691,0.387682,0.813704,tscaffold121,tscaffold121_151474_152165,353,0
tscaffold1290_824685_830163__1009,0.926269,0.812174,0.780081,0.776416,tscaffold1290,tscaffold1290_824685_830163,1009,0
tscaffold1449_1376639_1378003__1231,0.778877,0.990766,0.884237,0.956114,tscaffold1449,tscaffold1449_1376639_1378003,1231,0
tscaffold1466_230703_237813__1167,0.142402,0.697927,0.0758353,0.96907,tscaffold1466,tscaffold1466_230703_237813,1167,0
tscaffold1475_15764_17277__345,0.707258,0.960967,0.757352,0.970041,tscaffold1475,tscaffold1475_15764_17277,345,0
tscaffold1581_50596_54758__2246,0.191747,0.262181,0.18702,0.780007,tscaffold1581,tscaffold1581_50596_54758,2246,0
tscaffold1763_228333_236351__3853,0.84326,0.161465,0.50005,0.191616,tscaffold1763,tscaffold1763_228333_236351,3853,0
tscaffold1823_557757_559953__1569,0.421727,0.327506,0.223568,0.626899,tscaffold1823,tscaffold1823_557757_559953,1569,0
tscaffold2007_79886_83742__1763,0.784728,0.925946,0.820968,0.727423,tscaffold2007,tscaffold2007_79886_83742,1763,0
tscaffold2040_5919_13696__4673,0.204961,0.0114747,0.0423149,0.588875,tscaffold2040,tscaffold2040_5919_13696,4673,1
tscaffold2075_612983_613537__379,0.778609,0.74656,0.637874,0.580486,tscaffold2075,tscaffold2075_612983_613537,379,0
tscaffold2148_300476_307568__1045,0.758646,0.198456,0.560166,0.231265,tscaffold2148,tscaffold2148_300476_307568,1045,0
tscaffold2652_426534_427975__301,0.146777,0.261387,0.588467,0.758924,tscaffold2652,tscaffold2652_426534_427975,301,0
tscaffold2653_508418_511749__134,0.377922,0.936774,0.458477,0.829197,tscaffold2653,tscaffold2653_508418_511749,134,0
tscaffold2855_248380_254724__453,0.869192,0.975829,0.954632,0.904842,tscaffold2855,tscaffold2855_248380_254724,453,0
tscaffold3127_443659_449639__4779,0.795566,0.876526,0.962758,0.804126,tscaffold3127,tscaffold3127_443659_449639,4779,0
tscaffold3298_350960_353588__1081,0.769419,0.577294,0.768095,0.774871,tscaffold3298,tscaffold3298_350960_353588,1081,0
tscaffold3366_677386_679406__1374,0.731366,0.219272,0.217061,0.717849,tscaffold3366,tscaffold3366_677386_679406,1374,0
tscaffold3430_769063_771870__740,0.648524,0.0137369,0.986741,0.477998,tscaffold3430,tscaffold3430_769063_771870,740,1
tscaffold3431_380438_389068__8284,0.551737,0.791943,0.974334,0.999861,tscaffold3431,tscaffold3431_380438_389068,8284,0
tscaffold343_161953_169421__2702,0.935013,0.839058,0.753324,0.949828,tscaffold343,tscaffold343_161953_169421,2702,0
tscaffold3433_65473_70635__4634,0.823896,0.946139,0.817537,0.713957,tscaffold3433,tscaffold3433_65473_70635,4634,0
tscaffold355_1932684_1935471__682,0.531246,0.703937,0.896744,0.736672,tscaffold355,tscaffold355_1932684_1935471,682,0
tscaffold3574_156406_160581__3813,0.689608,0.935995,0.926195,0.880233,tscaffold3574,tscaffold3574_156406_160581,3813,0
tscaffold3576_119183_124494__384,0.742198,0.58873,0.801669,0.550051,tscaffold3576,tscaffold3576_119183_124494,384,0
tscaffold3941_192831_198673__580,0.925571,0.614763,0.831033,0.87243,tscaffold3941,tscaffold3941_192831_198673,580,0
tscaffold3949_240533_245542__4229,0.808799,0.33326,0.92932,0.527184,tscaffold3949,tscaffold3949_240533_245542,4229,0
tscaffold4057_57216_61149__1395,0.973313,0.681854,0.88145,0.591361,tscaffold4057,tscaffold4057_57216_61149,1395,0
tscaffold4169_474058_480380__3784,0.0925195,0.69283,0.222281,0.250873,tscaffold4169,tscaffold4169_474058_480380,3784,0
tscaffold427_14797_16856__1195,0.384092,0.805113,0.805636,0.940542,tscaffold427,tscaffold427_14797_16856,1195,0
tscaffold4413_651580_653296__1302,0.795304,0.983591,0.755226,0.719424,tscaffold4413,tscaffold4413_651580_653296,1302,0
tscaffold468_1_7310__2544,0.724796,0.925693,0.644773,0.905865,tscaffold468,tscaffold468_1_7310,2544,0
tscaffold4747_270342_278031__6335,0.979594,0.775222,0.97261,0.685493,tscaffold4747,tscaffold4747_270342_278031,6335,0
tscaffold4850_98327_102380__3734,0.466213,0.626382,0.334866,0.548918,tscaffold4850,tscaffold4850_98327_102380,3734,0
tscaffold5089_341710_344207__1970,0.12913,0.140796,0.818125,0.421651,tscaffold5089,tscaffold5089_341710_344207,1970,0
tscaffold5362_64787_69669__1533,0.880128,0.93291,0.623789,0.76907,tscaffold5362,tscaffold5362_64787_69669,1533,0
tscaffold5607_80322_84211__690,0.453416,0.943291,0.747638,0.936242,tscaffold5607,tscaffold5607_80322_84211,690,0
tscaffold5621_125659_126020__173,0.568425,0.630525,0.853412,0.319663,tscaffold5621,tscaffold5621_125659_126020,173,0
tscaffold5859_122557_123597__118,0.719836,0.916818,0.976283,0.864676,tscaffold5859,tscaffold5859_122557_123597,118,0
tscaffold5892_364302_369861__2503,0.863029,0.0165496,0.335776,0.95693,tscaffold5892,tscaffold5892_364302_369861,2503,1
tscaffold6079_549684_554605__1750,0.0664948,0.139487,0.169305,0.839857,tscaffold6079,tscaffold6079_549684_554605,1750,0
tscaffold6102_149150_156324__6496,0.647483,0.12143,0.447337,0.753769,tscaffold6102,tscaffold6102_149150_156324,6496,0
tscaffold6435_146680_149213__1616,0.549778,0.995453,0.549234,0.977089,tscaffold6435,tscaffold6435_146680_149213,1616,0
tscaffold650_146140_146362__145,0.657623,0.871425,0.737898,0.616442,tscaffold650,tscaffold650_146140_146362,145,0
tscaffold6639_308361_311616__3035,0.557407,0.296335,0.543378,0.586703,tscaffold6639,tscaffold6639_308361_311616,3035,0
tscaffold695_1417692_1420342__383,0.97637,0.852791,0.909744,0.75138,tscaffold695,tscaffold695_1417692_1420342,383,0
tscaffold6999_46856_50530__1383,0.881807,0.458083,0.747061,0.55404,tscaffold6999,tscaffold6999_46856_50530,1383,0
tscaffold7162_190607_191108__192,0.179859,0.92826,0.521923,0.154891,tscaffold7162,tscaffold7162_190607_191108,192,0
tscaffold7191_362209_370301__529,0.283972,0.658249,0.139348,0.627386,tscaffold7191,tscaffold7191_362209_370301,529,0
tscaffold7274_248526_251938__1300,0.944072,0.77823,0.946528,0.677448,tscaffold7274,tscaffold7274_248526_251938,1300,0
tscaffold727_942211_944358__774,0.88768,0.890708,0.834396,0.728675,tscaffold727,tscaffold727_942211_944358,774,0
tscaffold7393_376080_385016__796,0.817461,0.825753,0.941862,0.801937,tscaffold7393,tscaffold7393_376080_385016,796,0
tscaffold7407_236398_236588__94,0.543456,0.772979,0.731694,0.714292,tscaffold7407,tscaffold7407_236398_236588,94,0
tscaffold7437_206342_213794__6737,0.824209,0.766108,0.741775,0.455876,tscaffold7437,tscaffold7437_206342_213794,6737,0
tscaffold7528_52563_53415__255,0.244275,0.897861,0.224811,0.684303,tscaffold7528,tscaffold7528_52563_53415,255,0
tscaffold758_360118_360590__201,0.879386,0.570483,0.888894,0.670279,tscaffold758,tscaffold758_360118_360590,201,0
tscaffold7966_195275_199442__1023,0.195298,0.972081,0.380141,0.482672,tscaffold7966,tscaffold7966_195275_199442,1023,0
tscaffold8048_631680_633372__990,0.217588,0.211104,0.212351,0.307669,tscaffold8048,tscaffold8048_631680_633372,990,0
tscaffold8341_109152_115889__5684,0.480476,0.767178,0.767487,0.911205,tscaffold8341,tscaffold8341_109152_115889,5684,0
tscaffold8368_129314_131299__636,0.60216,0.57358,0.401827,0.819967,tscaffold8368,tscaffold8368_129314_131299,636,0
tscaffold8432_592059_594551__1284,0.862317,0.948981,0.322489,0.655334,tscaffold8432,tscaffold8432_592059_594551,1284,0
tscaffold8460_109094_114966__1530,0.471803,0.988994,0.605745,0.844153,tscaffold8460,tscaffold8460_109094_114966,1530,0
tscaffold8582_115239_118578__405,0.616249,0.858749,0.515171,0.896192,tscaffold8582,tscaffold8582_115239_118578,405,0
tscaffold8696_39251_39661__220,0.504312,0.806133,0.332144,0.721429,tscaffold8696,tscaffold8696_39251_39661,220,0
tscaffold9099_398702_401219__900,0.298193,0.931878,0.269441,0.219636,tscaffold9099,tscaffold9099_398702_401219,900,0
C27602590_120_505__306,0.379653,0.736723,0.939861,0.0309289,C27602590,C27602590_120_505,306,0
C29884124_1_726__540,0.874313,0.805557,0.88659,0.801055,C29884124,C29884124_1_726,540,0
C30222376__571,0.554735,0.839873,0.46095,0.672033,C30222376,C30222376,571,0
C30775268_283_715__343,0.836525,0.671153,0.902911,0.923999,C30775268,C30775268_283_715,343,0
C30776448_1_2685__1624,0.838865,0.627197,0.476746,0.760613,C30776448,C30776448_1_2685,1624,0
C30815844__1362,0.823058,0.506127,0.881657,0.738298,C30815844,C30815844,1362,0
C31156908_755_2012__204,0.895298,0.592765,0.809589,0.842023,C31156908,C31156908_755_2012,204,0
C31221516_1041_2867__551,0.283352,0.059246,0.650379,0.203873,C31221516,C31221516_1041_2867,551,0
C31370972_147_3113__2888,0.549525,0.578563,0.694542,0.917681,C31370972,C31370972_147_3113,2888,0
C31453180_1203_2902__920,0.999255,0.588147,0.508138,0.691964,C31453180,C31453180_1203_2902,920,0
C31541362_2394_5449__1667,0.78416,0.798428,0.979877,0.693012,C31541362,C31541362_2394_5449,1667,0
C31599546_4573_7685__2421,0.348668,0.298351,0.151095,0.321414,C31599546,C31599546_4573_7685,2421,0
C31606768_3160_7315__3293,0.446022,0.814227,0.649784,0.615938,C31606768,C31606768_3160_7315,3293,0
C31644492_5637_7897__442,0.648016,0.469124,0.767737,0.678961,C31644492,C31644492_5637_7897,442,0
C31678144_1_3098__2439,0.600701,0.788178,0.361899,0.917432,C31678144,C31678144_1_3098,2439,0
C31679630_3397_3567__130,0.717489,0.800829,0.299171,0.287594,C31679630,C31679630_3397_3567,130,0
C31684644_1_3418__587,0.986959,0.926652,0.896903,0.854249,C31684644,C31684644_1_3418,587,0
C31714692_3796_6018__1834,0.846979,0.787446,0.703555,0.767577,C31714692,C31714692_3796_6018,1834,0
C31721198_6774_7543__229,0.723242,0.269625,0.416392,0.383564,C31721198,C31721198_6774_7543,229,0
C31735056_255_2252__227,0.850342,0.634038,0.995772,0.831726,C31735056,C31735056_255_2252,227,0
C31761028_2077_3229__815,0.99625,0.813911,0.959091,0.320177,C31761028,C31761028_2077_3229,815,0
C31770852_367_2276__429,0.94637,0.808869,0.979717,0.613747,C31770852,C31770852_367_2276,429,0
C31785782_5681_6980__684,0.980151,0.78381,0.961718,0.937814,C31785782,C31785782_5681_6980,684,0
C31792370_7696_10642__1215,0.439054,0.628288,0.571597,0.86317,C31792370,C31792370_7696_10642,1215,0
C31794116_9319_10678__692,0.824162,0.304844,0.946049,0.959334,C31794116,C31794116_9319_10678,692,0
C31799108_2673_3610__473,0.187642,0.068112,0.33597,0.869609,C31799108,C31799108_2673_3610,473,0
C31799330_1084_4392__2966,0.950087,0.993663,0.854488,0.995475,C31799330,C31799330_1084_4392,2966,0
C31800578_6213_7123__176,0.963537,0.969268,0.971264,0.638514,C31800578,C31800578_6213_7123,176,0
C31812284_3932_8220__3456,0.155185,0.364131,0.177638,0.658964,C31812284,C31812284_3932_8220,3456,0
C31813130_9625_11104__939,0.94814,0.84236,0.864925,0.945885,C31813130,C31813130_9625_11104,939,0
C31818930_3172_9853__2046,0.615776,0.730634,0.967423,0.753233,C31818930,C31818930_3172_9853,2046,0
C31823544_2351_4841__625,0.569535,0.813896,0.744957,0.218032,C31823544,C31823544_2351_4841,625,0
C31848686_10371_11534__559,0.191192,0.791237,0.359995,0.856679,C31848686,C31848686_10371_11534,559,0
C31856696_3475_9479__3516,0.943824,0.337212,0.433517,0.0461781,C31856696,C31856696_3475_9479,3516,0
C31881726_7817_10163__1026,0.647189,0.431765,0.521638,0.949014,C31881726,C31881726_7817_10163,1026,0
C31883270_4319_11306__5278,0.620072,0.764537,0.936391,0.776001,C31883270,C31883270_4319_11306,5278,0
C31892094_2476_3750__287,0.930903,0.932199,0.976874,0.956035,C31892094,C31892094_2476_3750,287,0
C31919912_8326_11176__1320,0.811165,0.181405,0.726073,0.811475,C31919912,C31919912_8326_11176,1320,0
C31920296_9648_10627__798,0.833728,0.798428,0.765954,0.901333,C31920296,C31920296_9648_10627,798,0
C31921470_2116_4766__1275,0.680112,0.660829,0.956573,0.674229,C31921470,C31921470_2116_4766,1275,0
C31939876_8534_10859__1792,0.861721,0.680715,0.99146,0.929062,C31939876,C31939876_8534_10859,1792,0
C31955154_5646_7596__265,0.985396,0.785162,0.77646,0.986715,C31955154,C31955154_5646_7596,265,0
C31956254_4639_12130__1385,0.533159,0.730448,0.774498,0.754104,C31956254,C31956254_4639_12130,1385,0
C31958814_2765_8774__3021,0.864089,0.924607,0.957924,0.887864,C31958814,C31958814_2765_8774,3021,0
C31978466_8960_13009__2860,0.270748,0.571349,0.966183,0.905755,C31978466,C31978466_8960_13009,2860,0
C31984242_12073_14653__263,0.242442,0.193752,0.330219,0.51446,C31984242,C31984242_12073_14653,263,0
C31986792_2537_6870__2490,0.366366,0.9872,0.403546,0.777028,C31986792,C31986792_2537_6870,2490,0
C31995484_3306_8907__3081,0.887287,0.31295,0.879925,0.584705,C31995484,C31995484_3306_8907,3081,0
C32005282_1_6671__3321,0.899039,0.917612,0.964783,0.904659,C32005282,C32005282_1_6671,3321,0
C32009674_8817_9304__59,0.731323,0.907821,0.781919,0.775026,C32009674,C32009674_8817_9304,59,0
C32012962_1_1594__844,0.587124,0.632755,0.588101,0.9535,C32012962,C32012962_1_1594,844,0
C32019130_13815_14972__287,0.952198,0.964012,0.678349,0.986921,C32019130,C32019130_13815_14972,287,0
C32023934_13872_15572__895,0.195924,0.813414,0.376335,0.628262,C32023934,C32023934_13872_15572,895,0
C32033588_7836_12540__2990,0.470046,0.548772,0.435402,0.911314,C32033588,C32033588_7836_12540,2990,0
C32034072_4059_4647__391,0.847385,0.148185,0.896881,0.520003,C32034072,C32034072_4059_4647,391,0
C32048924_14451_18740__2578,0.876392,0.970987,0.64856,0.836019,C32048924,C32048924_14451_18740,2578,0
C32061718_1_2309__1722,0.195245,0.353272,0.30999,0.803444,C32061718,C32061718_1_2309,1722,0
C32074480_3763_11614__3605,0.678197,0.926278,0.34711,0.745905,C32074480,C32074480_3763_11614,3605,0
C32080360_4625_7997__2530,0.938832,0.585621,0.950785,0.873966,C32080360,C32080360_4625_7997,2530,0
C32081706_14818_17929__1600,0.966779,0.48103,0.96487,0.898424,C32081706,C32081706_14818_17929,1600,0
C32089178_2943_9123__1021,0.55312,0.961738,0.784876,0.87511,C32089178,C32089178_2943_9123,1021,0
C32102336_14347_17807__1826,0.742781,0.923574,0.581181,0.95506,C32102336,C32102336_14347_17807,1826,0
C32103560_3861_6917__1211,0.351171,0.0590174,0.481647,0.844826,C32103560,C32103560_3861_6917,1211,0
C32109098_10147_16528__4876,0.401695,0.14855,0.166716,0.130052,C32109098,C32109098_10147_16528,4876,0
C32113274_15542_16045__321,0.575232,0.706618,0.584049,0.386234,C32113274,C32113274_15542_16045,321,0
C32120432_14282_15740__442,0.397622,0.964064,0.28462,0.745469,C32120432,C32120432_14282_15740,442,0
C32120854_9724_11611__998,0.533312,0.593832,0.781183,0.684388,C32120854,C32120854_9724_11611,998,0
C32122424_2757_3502__645,0.404555,0.634484,0.131198,0.629482,C32122424,C32122424_2757_3502,645,0
C32128610_9770_12820__1807,0.685437,0.221571,0.986795,0.971856,C32128610,C32128610_9770_12820,1807,0
C32131488_2217_8336__2009,0.547077,0.0752594,0.59435,0.0108051,C32131488,C32131488_2217_8336,2009,1
C32135308_14416_14707__129,0.723156,0.979632,0.997967,0.989635,C32135308,C32135308_14416_14707,129,0
C32136540_14799_16172__1071,0.935958,0.414063,0.799398,0.913517,C32136540,C32136540_14799_16172,1071,0
C32140472_7204_8137__344,0.577483,0.54699,0.780729,0.130351,C32140472,C32140472_7204_8137,344,0
C32142298_10813_17826__784,0.368117,0.550796,0.210413,0.543859,C32142298,C32142298_10813_17826,784,0
C32143212_4415_6772__1171,0.787269,0.838149,0.581897,0.0891022,C32143212,C32143212_4415_6772,1171,0
C32146624_12469_18998__991,0.331208,0.449964,0.880841,0.894526,C32146624,C32146624_12469_18998,991,0
C32166570_22359_23325__141,0.543725,0.318595,0.696911,0.456725,C32166570,C32166570_22359_23325,141,0
C32175022_5484_6485__703,0.866508,0.942923,0.68145,0.884394,C32175022,C32175022_5484_6485,703,0
C32177716_6817_7566__6,0.549022,0.590381,0.769158,0.87063,C32177716,C32177716_6817_7566,6,0
C32181754_21216_22044__771,0.656644,0.849078,0.667606,0.900805,C32181754,C32181754_21216_22044,771,0
C32182628_8737_13603__1443,0.177216,0.60918,0.0365866,0.909503,C32182628,C32182628_8737_13603,1443,0
C32185220_13857_19373__2987,0.41163,0.042268,0.478705,0.487279,C32185220,C32185220_13857_19373,2987,0
C32186714_17042_17699__580,0.899534,0.830806,0.776091,0.660897,C32186714,C32186714_17042_17699,580,0
C32194368_7085_10160__828,0.848057,0.439436,0.919912,0.793287,C32194368,C32194368_7085_10160,828,0
C32195924_11572_14999__1619,0.361777,0.63887,0.0164841,0.0448775,C32195924,C32195924_11572_14999,1619,1
C32201426_12219_13833__162,0.523117,0.574696,0.675199,0.660876,C32201426,C32201426_12219_13833,162,0
C32208608_16477_23059__4461,0.895298,0.818094,0.77751,0.503007,C32208608,C32208608_16477_23059,4461,0
C32209612_18965_22803__2480,0.522476,0.19287,0.891523,0.135977,C32209612,C32209612_18965_22803,2480,0
C32213500_10486_13780__2864,0.588811,0.377695,0.999892,0.584298,C32213500,C32213500_10486_13780,2864,0
C32217274_17586_19106__538,0.645143,0.565426,0.873848,0.332436,C32217274,C32217274_17586_19106,538,0
C32219358_856_2411__253,0.98619,0.845176,0.976686,0.739995,C32219358,C32219358_856_2411,253,0
C32221256_1705_11310__6097,0.781263,0.0753202,0.860116,0.127416,C32221256,C32221256_1705_11310,6097,0
C32227788_2103_3609__1288,0.768001,0.756955,0.912749,0.774845,C32227788,C32227788_2103_3609,1288,0
C32229996_17153_21818__2125,0.634536,0.930739,0.812151,0.310691,C32229996,C32229996_17153_21818,2125,0
C32230368_4753_5945__102,0.913961,0.627866,0.947291,0.838006,C32230368,C32230368_4753_5945,102,0
C32238906_27344_29071__283,0.940242,0.904886,0.481739,0.236553,C32238906,C32238906_27344_29071,283,0
C32243212_20653_23336__1868,0.995581,0.196923,0.18496,0.107828,C32243212,C32243212_20653_23336,1868,0
C32244628_15445_18916__1814,0.736147,0.176462,0.473332,0.995324,C32244628,C32244628_15445_18916,1814,0
C32245150_846_2427__205,0.939412,0.751511,0.990939,0.47579,C32245150,C32245150_846_2427,205,0
C32247826_3103_4308__220,0.362276,0.952048,0.319271,0.962335,C32247826,C32247826_3103_4308,220,0
C32247826_4711_9818__2362,0.886881,0.868204,0.856446,0.860707,C32247826,C32247826_4711_9818,2362,0
C32257596_25981_28092__1885,0.340355,0.858141,0.149198,0.494648,C32257596,C32257596_25981_28092,1885,0
C32258352_16865_21600__2382,0.285203,0.978962,0.313933,0.433955,C32258352,C32258352_16865_21600,2382,0
C32266856_15078_19785__3019,0.895491,0.235337,0.636057,0.359268,C32266856,C32266856_15078_19785,3019,0
C32267018_1157_3686__689,0.834177,0.731883,0.997771,0.958372,C32267018,C32267018_1157_3686,689,0
C32273852_23644_26540__723,0.915989,0.97196,0.911771,0.722407,C32273852,C32273852_23644_26540,723,0
C32279640_6264_8093__1094,0.317887,0.609781,0.507094,0.675474,C32279640,C32279640_6264_8093,1094,0
C32281016_29037_30937__1801,0.0261351,0.153358,0.310378,0.427347,C32281016,C32281016_29037_30937,1801,1
C32292158_8114_17145__238,0.385011,0.311434,0.700131,0.729385,C32292158,C32292158_8114_17145,238,0
C32294320_4508_8588__2454,0.922551,0.673923,0.913407,0.821394,C32294320,C32294320_4508_8588,2454,0
C32295212_10878_12329__806,0.392307,0.797106,0.570166,0.940985,C32295212,C32295212_10878_12329,806,0
C32297052_26358_30737__2802,0.488622,0.367687,0.155495,0.556728,C32297052,C32297052_26358_30737,2802,0
C32307740_25945_27163__49,0.893356,0.563127,0.739494,0.294514,C32307740,C32307740_25945_27163,49,0
C32308192_384_1787__601,0.375367,0.708284,0.482573,0.714173,C32308192,C32308192_384_1787,601,0
C32315278_8544_11714__2395,0.780175,0.873709,0.779629,0.872982,C32315278,C32315278_8544_11714,2395,0
C32320278_24922_28929__1980,0.576133,0.918038,0.375581,0.689443,C32320278,C32320278_24922_28929,1980,0
C32333410_10617_14940__2654,0.973917,0.892366,0.812278,0.627186,C32333410,C32333410_10617_14940,2654,0
C32343790_4242_8033__2300,0.943024,0.869005,0.669184,0.602114,C32343790,C32343790_4242_8033,2300,0
C32354870_31315_34027__2205,0.264549,0.877465,0.762338,0.993028,C32354870,C32354870_31315_34027,2205,0
C32356038_23911_26460__1408,0.730344,0.597415,0.843172,0.320472,C32356038,C32356038_23911_26460,1408,0
C32362222_35908_39224__1728,0.616645,0.162947,0.11144,0.56302,C32362222,C32362222_35908_39224,1728,0
C32377854_7342_10189__1531,0.840726,0.753744,0.737736,0.6445,C32377854,C32377854_7342_10189,1531,0
C32382160_36224_42093__2863,0.999999,0.586751,0.618189,0.39834,C32382160,C32382160_36224_42093,2863,0
C32383414_1343_2802__682,0.764821,0.987836,0.624314,0.980638,C32383414,C32383414_1343_2802,682,0
C32384476_19229_21919__1718,0.857492,0.533367,0.731246,0.395559,C32384476,C32384476_19229_21919,1718,0
C32395528_9029_15023__3958,0.530119,0.771254,0.602139,0.566761,C32395528,C32395528_9029_15023,3958,0
C32397574_31319_32597__1205,0.54798,0.338512,0.889815,0.649911,C32397574,C32397574_31319_32597,1205,0
C32407874_46287_46991__119,0.786175,0.566358,0.604126,0.350425,C32407874,C32407874_46287_46991,119,0
C32410972_35696_39989__381,0.785911,0.705863,0.864343,0.666425,C32410972,C32410972_35696_39989,381,0
C32412944_21500_24179__2001,0.910243,0.735403,0.86987,0.730831,C32412944,C32412944_21500_24179,2001,0
C32412944_28670_30354__352,0.694915,0.914462,0.509349,0.878668,C32412944,C32412944_28670_30354,352,0
C32413204_44532_48359__1349,0.590211,0.882304,0.487446,0.797897,C32413204,C32413204_44532_48359,1349,0
C32413568_3170_13460__5259,0.632999,0.213322,0.381984,0.462205,C32413568,C32413568_3170_13460,5259,0
C32418580_36173_42042__2233,0.692931,0.858177,0.809572,0.992161,C32418580,C32418580_36173_42042,2233,0
C32424216_21222_23318__1230,0.890659,0.73584,0.69585,0.790613,C32424216,C32424216_21222_23318,1230,0
C32425452_9970_15969__3655,0.44367,0.962889,0.37269,0.801572,C32425452,C32425452_9970_15969,3655,0
C32425722_7944_8949__800,0.960793,0.892086,0.974279,0.941448,C32425722,C32425722_7944_8949,800,0
C32428672_27378_30742__664,0.274193,0.849034,0.694889,0.725482,C32428672,C32428672_27378_30742,664,0
C32429966_48007_51405__126,0.697337,0.827089,0.522178,0.85921,C32429966,C32429966_48007_51405,126,0
C32430276_26944_28226__741,0.269339,0.863248,0.421237,0.793367,C32430276,C32430276_26944_28226,741,0
C32432972_49625_52468__2609,0.918294,0.83003,0.691034,0.878005,C32432972,C32432972_49625_52468,2609,0
C32432992_4344_7910__1394,0.500399,0.746138,0.852964,0.672151,C32432992,C32432992_4344_7910,1394,0
C32441018_27597_31338__2692,0.823565,0.90022,0.993066,0.778294,C32441018,C32441018_27597_31338,2692,0
C32441230_39865_44159__43,0.405529,0.672421,0.645301,0.238383,C32441230,C32441230_39865_44159,43,0
C32441394_9550_15909__3461,0.794404,0.646309,0.460407,0.148707,C32441394,C32441394_9550_15909,3461,0
C32441440_49162_50934__1670,0.850273,0.887454,0.828279,0.996505,C32441440,C32441440_49162_50934,1670,0
C32445600_12611_13494__774,0.806825,0.339347,0.952156,0.512842,C32445600,C32445600_12611_13494,774,0
C32446478_26491_28302__1294,0.564629,0.834091,0.509032,0.872551,C32446478,C32446478_26491_28302,1294,0
C32447110_50275_52527__629,0.640444,0.751547,0.449058,0.759479,C32447110,C32447110_50275_52527,629,0
C32447900_10941_13025__548,0.846827,0.634216,0.589104,0.638608,C32447900,C32447900_10941_13025,548,0
C32450346_44171_49367__3288,0.944826,0.888256,0.944264,0.354375,C32450346,C32450346_44171_49367,3288,0
